date,package,version,cumulative,clamped
2026-08-07,Ank.DocToolkit,0.1.0,349,
2026-08-07,Ank.DocToolkit,0.10.0,279,
2026-08-07,Ank.DocToolkit,0.11.0,247,
2026-08-07,Ank.DocToolkit,0.12.0,0,
2026-08-07,Ank.DocToolkit,0.2.0,1470,
2026-08-07,Ank.DocToolkit,0.2.1,219,
2026-08-07,Ank.DocToolkit,0.2.2,89,
2026-08-07,Ank.DocToolkit,0.3.0,89,
2026-08-07,Ank.DocToolkit,0.3.1,88,
2026-08-07,Ank.DocToolkit,0.3.10,95,
2026-08-07,Ank.DocToolkit,0.3.11,118,
2026-08-07,Ank.DocToolkit,0.3.12,129,
2026-08-07,Ank.DocToolkit,0.3.2,210,
2026-08-07,Ank.DocToolkit,0.3.3,86,
2026-08-07,Ank.DocToolkit,0.3.4,92,
2026-08-07,Ank.DocToolkit,0.3.5,114,
2026-08-07,Ank.DocToolkit,0.3.6,122,
2026-08-07,Ank.DocToolkit,0.3.7,115,
2026-08-07,Ank.DocToolkit,0.3.8,102,
2026-08-07,Ank.DocToolkit,0.3.9,119,
2026-08-07,Ank.DocToolkit,0.4.0,143,
2026-08-07,Ank.DocToolkit,0.5.0,156,
2026-08-07,Ank.DocToolkit,0.6.0,119,
2026-08-07,Ank.DocToolkit,0.7.0,270,
2026-08-07,Ank.DocToolkit,0.8.0,396,
2026-08-07,Ank.DocToolkit,0.9.0,194,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.10.0,95,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.11.0,171,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.12.0,0,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.2.1,219,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.2.2,96,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.0,86,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.1,88,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.10,95,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.11,118,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.12,129,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.2,208,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.3,88,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.4,100,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.5,109,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.6,123,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.7,127,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.8,97,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.3.9,124,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.4.0,142,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.5.0,154,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.6.0,116,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.7.0,161,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.8.0,110,
2026-08-07,Ank.DocToolkit.Extensions.DependencyInjection,0.9.0,189,
2026-08-08,Ank.DocToolkit,0.1.0,350,
2026-08-08,Ank.DocToolkit,0.10.0,404,
2026-08-08,Ank.DocToolkit,0.11.0,972,
2026-08-08,Ank.DocToolkit,0.12.0,668,
2026-08-08,Ank.DocToolkit,0.2.0,1477,
2026-08-08,Ank.DocToolkit,0.2.1,221,
2026-08-08,Ank.DocToolkit,0.2.2,92,
2026-08-08,Ank.DocToolkit,0.3.0,91,
2026-08-08,Ank.DocToolkit,0.3.1,92,
2026-08-08,Ank.DocToolkit,0.3.10,98,
2026-08-08,Ank.DocToolkit,0.3.11,121,
2026-08-08,Ank.DocToolkit,0.3.12,132,
2026-08-08,Ank.DocToolkit,0.3.2,213,
2026-08-08,Ank.DocToolkit,0.3.3,89,
2026-08-08,Ank.DocToolkit,0.3.4,95,
2026-08-08,Ank.DocToolkit,0.3.5,117,
2026-08-08,Ank.DocToolkit,0.3.6,125,
2026-08-08,Ank.DocToolkit,0.3.7,118,
2026-08-08,Ank.DocToolkit,0.3.8,105,
2026-08-08,Ank.DocToolkit,0.3.9,121,
2026-08-08,Ank.DocToolkit,0.4.0,147,
2026-08-08,Ank.DocToolkit,0.5.0,159,
2026-08-08,Ank.DocToolkit,0.6.0,123,
2026-08-08,Ank.DocToolkit,0.7.0,275,
2026-08-08,Ank.DocToolkit,0.8.0,401,
2026-08-08,Ank.DocToolkit,0.9.0,196,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.10.0,103,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.11.0,293,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.12.0,555,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.2.1,220,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.2.2,98,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.0,88,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.1,92,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.10,97,
